Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","Antenna_Shield","ANT-915-uSP410",214.740000,-142.000000,90.000000,bottom
"C19","10uF","C_0603_1608Metric",184.000000,-138.200000,-90.000000,bottom
"C20","NP","C_0603_1608Metric",192.800000,-147.750000,-90.000000,bottom
"C21","NP","C_0603_1608Metric",198.150000,-147.750000,-90.000000,bottom
"L1","0H","L_0603_1608Metric",195.450000,-147.000000,0.000000,bottom
"R10","10k","R_0603_1608Metric",198.400000,-125.800000,-90.000000,bottom
"U5","RFM69HCW","HOPERF_RFM9XW_SMD",194.500000,-136.750000,180.000000,bottom
